Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
130513-116841,2B/1B/OF,Sam,Sam Haggerty,Haggerty,1.4192308279184194,26,2200,TEX@COL,TEX,COL,,,,,,C/1B/2B/OF/UTIL
130513-119428,2B/3B,Will,Will Wilson,Wilson,12.600000381469727,2,2200,CWS@SEA,SEA,CWS,IL,Thumb,,,,2B/3B/UTIL
130513-164533,OF,Yohendrick,Yohendrick Pinango,Pinango,6.631249904632568,16,2200,TOR@NYY,TOR,NYY,,,,,,OF/UTIL
130513-211757,OF,Bryce,Bryce Teodosio,Teodosio,2.7058823529411766,34,2200,ATH@LAA,LAA,ATH,,,,,,OF/UTIL
130513-68563,OF,Victor,Victor Robles,Robles,4.3,5,2200,CWS@SEA,SEA,CWS,IL,Pectoral,,,,OF/UTIL
130513-60636,OF,Derek,Derek Hill,Hill,4.438235114602482,34,2200,CWS@SEA,CWS,SEA,,,,,,OF/UTIL
130513-197904,SS/3B/2B,Darell,Darell Hernaiz,Hernaiz,4.77741955172631,31,2200,ATH@LAA,ATH,LAA,,,,,,2B/3B/SS/UTIL
130513-13909,OF,Randal,Randal Grichuk,Grichuk,5.470370257342303,27,2200,CWS@SEA,CWS,SEA,,,,,,OF/UTIL
130513-165567,3B/2B/OF,Shay,Shay Whitcomb,Whitcomb,2.5142857687813893,14,2200,HOU@MIN,HOU,MIN,,,,,,2B/3B/OF/UTIL
130513-165645,OF,Denzel,Denzel Clarke,Clarke,3.990909229625355,22,2200,ATH@LAA,ATH,LAA,IL,Foot,,,,OF/UTIL
130513-165670,C,Brandon,Brandon Valenzuela,Valenzuela,6.357142857142857,28,2200,TOR@NYY,TOR,NYY,,,,,,C/1B/UTIL
130513-102380,SS/2B/3B,Nick,Nick Allen,Allen,2.6285714649018788,21,2200,HOU@MIN,HOU,MIN,,,,,,2B/3B/SS/UTIL
130513-102413,1B,Luken,Luken Baker,Baker,1,3,2100,SF@ARI,ARI,SF,,,,,,C/1B/UTIL
130513-135194,C,Freddy,Freddy Fermin,Fermin,3.61999991280692,35,2100,LAD@SD,SD,LAD,,,,,,C/1B/UTIL
130513-135195,C,Sebastian,Sebastian Rivero,Rivero,1,15,2100,ATH@LAA,LAA,ATH,,,,,,C/1B/UTIL
130513-102436,OF,Kristian,Kristian Robinson,Robinson,,0,2100,SF@ARI,ARI,SF,,,,,,OF/UTIL
130513-102454,C,Jhonny,Jhonny Pereda,Pereda,2.299999952316284,4,2100,CWS@SEA,SEA,CWS,,,,,,C/1B/UTIL
130513-172093,2B,Michael,Michael Stefanic,Stefanic,4.599999904632568,2,2100,ATH@LAA,ATH,LAA,,,,,,2B/UTIL
130513-116867,C,Tyler,Tyler Heineman,Heineman,2.2807692014254055,26,2100,TOR@NYY,TOR,NYY,,,,,,C/1B/UTIL
